id,drug_text
10,"For treatment of myocardial infarction and lysis of intracoronary emboliTenecteplase is a tissue plasminogen activator (tPA) developed from modifications of natural human tPA complementary DNA (cDNA). It is a 527 amino acid with a substitution of threonine 103 with asparagine and substitution of asparagine 117 with glutamine within the kringle 1 domain, and a tetra-alanine substitution at amino acids 296-299 in the protease domain.Tenecteplase is a fibrin-specific tissue-plasminogen activator. It binds to fibrin rich clots and cleaves the Arg/Val bond in plasminogen to form plasmin. Plasmin in turn degrades the fibrin matrix of the thrombus, thereby exerting its thrombolytic action. Plasmin in turn degrades the fibrin matrix of the thrombus, thereby exerting its thrombolytic action."
11,"- Indicated for patients with hemophilia A with factor VIII coagulant activity levels greater than 5% or mild to moderate classic von Willebrand's Disease (Type I) with factor VIII levels greater than 5% during surgical procedures and postoperatively to maintain hemostasis (parenteral).Desmopressin (dDAVP), a synthetic analogue of 8-arginine vasopressin (ADH), is an antidiuretic peptide drug modified by deamination of 1-cysteine and substitution of 8-L-arginine by 8-D-arginine. Desmopressin is indicated for the treatment of polyuric conditions including primary nocturnal enuresis, nocturia, and diabetes insipidus. Nocdurna, or desmopressin acetate, was approved by the FDA on June 21st, 2018 for the treatment of nocturia due to nocturnal polyuria in adults. It is available as a sublingual tablet.By mimicking the actions of endogenous ADH, desmopressin acts as a selective agonist of V2 receptors expressed in the renal collecting duct (CD) to increase water re-absorption and reduce urine production. Desmopressin administered intranasally has an antidiuretic effect about one-tenth that of an equivalent dose administered by injection .Upon binding of desmopressin to V2 receptors in the basolateral membrane of the cells of the distal tubule and collecting ducts of the nephron, adenylyl cyclase is stimulated."
12,"For treatment of hemorrhagic complications in hemophilia A and B.Recombinant human coagulation Factor VIIa (rFVIIa), intended for promoting hemostasis by activating the extrinsic pathway of the coagulation cascade. NovoSeven is a vitamin K-dependent glycoprotein consisting of 406 amino acid residues. Cloned and expressed in hamster kidney cells, the protein is catalytically active in a two-chain form.Used in the treatment of bleeding episodes in hemophilia A or B. NovoSeven is recombinant Factor VIIa and, when complexed with tissue factor can activate coagulation Factor X to Factor Xa, as well as coagulation Factor IX to Factor IXa. Factor Xa, in complex with other factors, then converts prothrombin to thrombin, which leads to the formation of a hemostatic plug by converting fibrinogen to fibrin and thereby inducing local clotting.NovoSeven activates the coagulation or clotting cascade by cleaving Factor IX and Factor X, which activates them and then leads to activation of thrombin and fibrin."
13,"Glucagon is indicated as a diagnostic aid in radiologic exams to temporarily inhibit the movement of the gastrointestinal tract and to treat severe hypoglycemia.Glucagon is a 29 amino acid hormone used as a diagnostic aid in radiologic exams to temporarily inhibit the movement of the gastrointestinal tract and to treat severe hypoglycemia. Glucagon raises blood sugar through activation of hepatic glucagon receptors, stimulating glycogenolysis and the release of glucose. Glucagon was granted FDA approval on 14 November 1960.Glucagon is indicated as a diagnostic aid in radiologic exams to temporarily inhibit the movement of the gastrointestinal tract and severe hypoglycemia. Glucagon raises blood sugar through activation of hepatic glucagon receptors, stimulating glycogenolysis and the release of glucose. Glucagon has a short duration of action."
14,"For the treatment of patients with cervical dystonia to reduce the severity of abnormal head position and neck pain associated with cervical dystonia.Neurotoxin produced by fermentation of clostridium botulinum type B. The protein exists in noncovalent association with hemagglutinin and nonhemagglutinin proteins as a neurotoxin complex. The neurotoxin complex is recovered from the fermentation process and purified through a series of precipitation and chromatography steps.Botulinum Toxin Type B inhibits acetylcholine release at the neuromuscular junction via a three stage process: 1) Heavy Chain mediated neurospecific binding of the toxin, 2) internalization of the toxin by receptor-mediated endocytosis, and 3) ATP and pH dependent translocation of the Light Chain to the neuronal cytosol where it acts as a zinc-dependent endoprotease cleaving polypeptides essential for neurotransmitter release.Botulinum Toxin Type B binds to and cleaves the synaptic Vesicle Associated Membrane Protein (VAMP, also known as synaptobrevin) which is a component of the protein complex responsible for docking and fusion of the synaptic vesicle to the presynaptic membrane, a necessary step to neurotransmitter release."
15,"Insulin is prescribed for the management of diabetes mellitus to mimic the activity of endogenously produced human insulin, a peptide hormone produced by beta cells of the pancreas that promotes glucose metabolism. Insulin is released from the pancreas following a meal to promote the uptake of glucose from the blood into internal organs and tissues such as the liver, fat cells, and skeletal muscle. Insulin is an important treatment in the management of Type 1 Diabetes (T1D) which is caused by an autoimmune reaction that destroys the beta cells of the pancreas, resulting in the body not being able to produce the insulin needed to manage circulating blood sugar levels. Due to its duration of action of around 5 hours, Humalog is considered ""bolus insulin"" as it provides high levels of insulin in a short period of time to mimic the release of endogenous insulin from the pancreas after meals. Its activity peaks 60 minutes following subcutaneous injection and its duration of action is 4-5 hours."
16,"Insulin is typically prescribed for the management of diabetes mellitus to mimic the activity of endogenously produced human insulin, a peptide hormone produced by beta cells of the pancreas that promotes glucose metabolism. Insulin is released from the pancreas following a meal to promote the uptake of glucose from the blood into internal organs and tissues such as the liver, fat cells, and skeletal muscle. Insulin is an important treatment in the management of Type 1 Diabetes (T1D), which is caused by an autoimmune reaction that destroys the beta cells of the pancreas, resulting in the body not being able to produce or synthesize the insulin needed to manage circulating blood sugar levels. Available as the brand name product Lantus, insulin glargine has a duration of action up to 24 hours allowing for once-daily dosing, typically at bedtime. The resulting protein is soluble at pH 4 and forms microprecipitates at physiological pH 7.4 allowing for the slow release of small amounts of insulin glargine, giving the drug a long duration of action and no pronounced peak concentration."
17,"For treatment of hyperuricemia, reduces elevated plasma uric acid levels (from chemotherapy)Rasburicase is a recombinant urate-oxidase enzyme produced by a genetically modified <i>Saccharomyces cerevisiae</i> strain. The cDNA coding for rasburicase was cloned from a strain of _Aspergillus flavus_.Drugs used to treat lympohoid leukemia, non-Hodgkin's lymphoma and acute myelogenous leukemia often lead to the accumulation of toxic plasma levels of purine metabolites (i.e. uric acid). The injection of rasburicase reduces levels of uric acid and mitigates the toxic effects of chemotherapy induced tumor lysis.Rasburicase catalyzes enzymatic oxidation of uric acid into an inactive and soluble metabolite (allantoin)."
18,"Abciximab is indicated as an adjunct to percutaneous coronary intervention for the prevention of cardiac ischemic complications in patients undergoing percutaneous coronary intervention and in patients with unstable angina not responding to conventional medical therapy when percutaneous coronary intervention is planned within 24 hours. Abciximab is intended for use with aspirin and heparin and has been studied only in that setting.Abciximab is a Fab fragment of the chimeric human-murine monoclonal antibody 7E3. After two hours post-injection with a dose of 0.25 - 0.30 mg/kg, 80% of the GPIIb/IIIa receptors were blocked and platelet aggregation was prevented. Abciximab binds to the intact platelet GPIIb/IIIa receptor, which is a member of the integrin family of adhesion receptors and the major platelet surface receptor involved in platelet aggregation. By binding to the vitronectin receptor (also known as the αvβ3 integrin), abciximab blocks effects mediated by this integrin which include cell adhesion."
19,"Vasopressin is indicated to increase blood pressure in adults in vasodilatory shock refractory to the application of fluids and catecholamines.Vasopressin (arginine-vasopressin or antidiuretic hormone) is a nonapeptide primarily produced in the hypothalamus that exhibits diverse physiological functions related to diuresis, hemodynamic modulation, and behaviour. Vasopressin release is mediated by sensory pathways, in which either a 2% increase in plasma osmolarity or a 10% decrease in blood pressure causes the release of endogenous vasopressin. Vasopressin binding to V1causes hydrolysis of phosphatidylinositol-4,5-bisphosphate into inositol triphosphate (IP<sub>3</sub>) and diacylglycerol (DAG) by phospholipase C, which in turn release intracellular calcium and activate protein kinase C (PKC) to open voltage-gated calcium channels (VGCCs) while closing potassium channels. It is also thought that vasopressin, acting through both V1 and oxytocin receptors, causes the cardiac release of atrial natriuretic peptide (ANP), which has a negative inotropic effect; indeed, vasopressin tends to decrease heart rate and cardiac output, although the opposite effect has been noted with low doses. In these cases, vasopressin acts to depolarize hyperpolarized vascular smooth muscle cells, restore sensitivity to catecholamines, and inhibit excessive nitric oxide production, primarily through acting through V1 receptors."
20,"Interferon beta-1b is a drug used for the treatment of relapsing/remitting multiple sclerosis. It has been shown to slow the advance of the disease as well as to decrease the frequency of attacks.Human interferon beta (165 residues), cysteine 17 is substituted with serine. Produced in E. coli, no carbohydrates, MW=18.5kDInterferon beta upregulates the expression of MHC I proteins, allowing for increased presentation of peptides derived from viral antigens. This enhances the activation of CD8+ T cells that are the precursors for cytotoxic T lymphocytes (CTLs) and makes the macrophage a better target for CTL-mediated killing. Type I interferons also induce the synthesis of several key antiviral mediators including 2'-5' oligoadenylate synthetase (2'-5' A synthetase), beta-2 microglobulin, neopterin and protein kinase R.Interferon beta binds to type I interferon receptors (IFNAR1 and IFNAR2c) which activate two Jak (Janus kinase) tyrosine kinases (Jak1 and Tyk2)."
21,"Trastuzumab is indicated for subcutaneous administration - in combination with either  or both hyaluronidase and  - for the treatment of adults with HER2-positive breast cancers.Produced in CHO cell cultures, trastuzumab is a recombinant IgG1 kappa, humanized monoclonal antibody  that selectively binds with high affinity in a cell-based assay (Kd = 5 nM) to the extracellular domain of the human epidermal growth factor receptor protein (HER2). It is used as a treatment of human epidermal growth factor receptor (HER)-2+ metastatic breast cancer, where there is a proven amplification of the HER-2 oncogene or over-expression of the HER-2 protein in tumours. In December 2017, FDA approved OGIVRI (trastuzumab-dkst) as a biosimilar to Herceptin (trastuzumab) for the treatment of patients with breast or metastatic stomach cancer (gastric or gastroesophageal junction adenocarcinoma) whose tumors overexpress the HER2 gene (HER2+). While Ogivri is the first biosimilar approved in the U.S. for the treatment of breast cancer or stomach cancer, it is the second biosimilar approved in the U.S. for the treatment of cancer. Further downstream molecular signaling cascades are activated, such as the Ras/Raf/mitogen-activated protein kinase (MAPK), the phosphoinositide 3-kinase/Akt, and the phospholipase Cγ (PLCγ)/protein kinase C (PKC) pathways that promote cell growth and survival and cell cycle progression ."
22,"For treatment of organ transplant recipients, prevention of organ rejectionMurine monoclonal antibody specific to CD3 T-cell lymphocyte antigens. More specifically it is a purified murine (mouse) monoclonal antibody, directed against the CD3 (T3) receptor on the surface of human T-cells (T-lymphocytes) cultured using the murine ascites method. Muromonab is 93% monomeric immune globulin G type 2a (IgG2a).Used in organ transplant prophylaxis, Muromonab or OKT-3 binds specifically to the CD-3 complex, which is involved in antigen recognition and cell stimulation, on the surface of T lymphocytes. Immediately after administration CD-3-positive T lymphocytes are abruptly removed from circulation. It appears to kill CD-3 positive cells by inducing Fc mediated apoptosis, antibody mediated cytotoxicity and complement-dependent cytotoxicity."
23,"Patients should be monitored for CPK levels and, in those with renal impairment, renal function, at least once per week and should consider temporarily suspending the use of HMG-CoA reductase inhibitors. aureus_ bacteremia and endocarditis should be investigated for sequestered foci of infection and the possibility of daptomycin resistance; the dose or treatment regimen may require adjusting. However, no convincing evidence has been presented for any of these models, and an effect on LTA biosynthesis has been ruled out by other studies in _S. Although this lead some to suggest that daptomycin could bind PG to form oligomeric pores in the bacterial membrane, no cell lysis was observed in _S. aureus_, _cls_ in various enterococci, and _pgsA_, PG synthase, and the _dlt_ operon in _E."
24,"Botulinum toxin A is indicated for a variety of conditions, depending on the preparations. A popular use for Botox is the treatment of facial wrinkles and lines, however, there are many uses for the botulinum toxin A in the treatment of dystonia, incontinence, migraine, blepharospasm, and hyperhidrosis.Botulinum toxin A inhibits the release of acetylcholine, relieving muscle contraction and spasm associated with many conditions, such as incontinence and dystonia. Reinnervation of the muscle may occur, reversing muscle denervation caused by botulinum toxin A.Botulinum toxin is a 150-kDa molecular weight protein consisting of a light chain (50 kDa) and heavy chain (100 kDa) linked by a single disulfide bond. The crystal structure reveals 3 lobes - the light chain, the amino-terminal portion of the heavy chain, and the carboxyl-terminal portion of the heavy chain. The light chain specifically interacts with SNAP-25 in the nerve terminals to block binding of acetylcholine vesicles with the cell membrane."
25,"It is also used to prevent bone marrow transplant rejection. Finally, cyclosporine can be used in patients who have chronic transplant rejection and have received previous immunosuppressive therapy and to prevent or treat graft-versus-host disease (GVHD). The ophthalmic solution of cyclosporine is indicated to increase tear production in patients suffering from keratoconjunctivitis sicca. Off-label, cyclosporine is commonly used for the treatment of various autoimmune and inflammatory conditions such as atopic dermatitis, blistering disorders, ulcerative colitis, juvenile rheumatoid arthritis, uveitis, connective tissue diseases, as well as idiopathic thrombocytopenic purpura.Cyclosporine is a calcineurin inhibitor known for its immunomodulatory properties that prevent organ transplant rejection and treat various inflammatory and autoimmune conditions. This complex subsequently inhibits calcineurin, which in turn stops the dephosphorylation as well as the activation of the nuclear factor of activated T cells (NF-AT) that normally cause inflammatory reactions."
26,"Octreotide by injection is used for the treatment of acromegaly and the reduction of flushing and diarrhea symptoms related to carcinoid tumors and/or vasoactive intestinal peptide (VIPoma) tumors. The delayed-release oral formulation is used for the long-term treatment of acromegaly in patients who tolerate and respond adequately to injectable octreotide and .Acromegaly is a disorder caused by excess growth hormone (GH), increasing the growth of body tissues and causing metabolic dysfunction. Octreotide is a long-acting drug with pharmacologic activities that mimic those of the natural hormone, somatostatin, which inhibits the secretion of growth hormone. Additionally, it is used for the treatment of acromegaly and symptoms arising from various tumors, including carcinoid tumors and vasoactive intestinal tumors (VIPomas). In addition, octreotide relieves the flushing and diarrhea associated with gastrointestinal tumors by reducing splanchnic blood flow and various gastrointestinal hormones associated with diarrhea."
27,"Administration of exogenous oxytocin is indicated in the antepartum period to initiate or improve uterine contractions for vaginal delivery in situations where there is fetal or maternal concern. It should be noted that there are risks associated with oxytocin intervention during childbirth. It plays an important role in pair bonding, social cognition and functioning, and even fear conditioning. The elicited uterine contractions will then stimulate the release of increasing amounts of oxytocin. Since exogenously administered and endogenously secreted oxytocin result in the same effects on the female reproductive system, synthetic oxytocin may be used in specific instances during the antepartum and postpartum period to induce or improve uterine contractions."
28,"Daclizumab is a composite of human (90%) and murine (10%) antibody sequences. On 22 April 2008, Roche Registration Limited chose to voluntarily withdraw the marketing authorization for their product Zenapax (daclizumab), as indicated for the prophylaxis of acute organ rejection in de novo allogeneic renal transplantation and used concomitantly with an immunosuppressive regimen like cyclosporine and corticosteroids in patients who are not hight immunized, for commercial reasons and confirmed that this decision was not related to any safety concerns associated with the use of Zenapax (daclizumab) . Despite being approved for use, Zinbryta (daclizumab)'s complex pre-existing safety profile consisting of its restricted availability through a Risk Evaluation and Mitigation Strategy program  and its black box warning for possible hepatic injury, autoimmune hepatitis, and other immune mediated disorders  meant its therapeutic usage, adverse effects, and prescribing information was subject to continuous monitoring and updating. Specifically it inhibits IL-2-mediated activation of lymphocytes, a critical pathway in the cellular immune response involved in allograft rejection.Zenepax binds with high-affinity to the Tac subunit of the high-affinity IL-2 receptor complex and inhibits IL-2 binding. The IL-2 receptor (Tac) subunit is expressed on activated but not resting lymphocytes."
29,"For nutritional supplementation and for treating dietary shortage or imbalance.This is the active form of vitamin B6 serving as a coenzyme for synthesis of amino acids, neurotransmitters (serotonin, norepinephrine), sphingolipids, aminolevulinic acid. In the liver they are converted to pyridoxal phosphate (PLP) which is a cofactor in many reactions of amino acid metabolism. Pyridoxal phosphate acts as a coenzyme in all transamination reactions, and in some   oxylation and deamination reactions of amino acids. The aldehyde group of pyridoxal phosphate forms a Schiff-base linkage with the epsilon-amino group of a specific lysine group of the aminotransferase enzyme. The alpha-amino group of the amino acid substrate displaces the epsilon-amino group of the active-site lysine residue."
30,"L-histidine may be indicated for use in some with rheumatoid arthritis. It is not indicated for treatment of anemia or uremia or for lowering serum cholesterol.An essential amino acid that is required for the production of histamine.Is found abundantly in hemoglobin; has been used in the treatment of rheumatoid arthritis, allergic diseases, ulcers and anemia. However, some facts are known about L-histidine and some of its metabolites, such as histamine and trans-urocanic acid, which suggest that supplemental L-histidine may one day be shown to have immunomodulatory and/or antioxidant activities. Further, histamine has been shown to down-regulate the production of reactive oxygen species in phagocytic cells, such as monocytes, by binding to the H2 receptors on these cells. Decreased reactive oxygen species production by phagocytes could play antioxidant, anti-inflammatory and immunomodulatory roles in such diseases as rheumatoid arthritis."
31,"It has also been suggested to be an effective antiviral agent.A six carbon compound related to glucose. It is found naturally in citrus fruits and many vegetables. Vitamin C is considered an antioxidant.Ascorbic Acid (vitamin C) is a water-soluble vitamin indicated for the prevention and treatment of scurvy, as ascorbic acid deficiency results in scurvy. Collagenous structures are primarily affected, and lesions develop in bones and blood vessels. Administration of ascorbic acid completely reverses the symptoms of ascorbic acid deficiency.In humans, an exogenous source of ascorbic acid is required for collagen formation and tissue repair by acting as a cofactor in the posttranslational formation of 4-hydroxyproline in -Xaa-Pro-Gly- sequences in collagens and other proteins."
32,"Glutamine can then be used as a nitrogen donor in the biosynthesis of many compounds, including other amino acids, purines, and pyrimidines. L-glutamine improves nicotinamide adenine dinucleotide (NAD) redox potential .Supplemental L-glutamine's possible immunomodulatory role may be accounted for in a number of ways. L-glutamine appears to play a major role in protecting the integrity of the gastrointestinal tract and, in particular, the large intestine. The demand for L-glutamine by the intestine, as well as by cells such as lymphocytes, appears to be much greater than that supplied by skeletal muscle, the major storage tissue for L-glutamine. It can lead to an increased synthesis of glutathione in the intestine, which may also play a role in maintaining the integrity of the intestinal mucosa by ameliorating oxidative stress."
33,"For nutritional supplementation, also for treating dietary shortage or imbalanceAdenosine phosphate, or adenylic acid, is an adenine nucleotide containing one phosphate group esterified to the sugar moiety in the 2&#39;-, 3&#39;-, or 5&#39;-position. Adenosine phosphate was withdrawn by the FDA since it was considered neither safe nor effective for its intended uses as a vasodilator and an anti-inflammatory.Adenosine monophosphate, also known as 5'-adenylic acid and abbreviated AMP, is a nucleotide that is found in RNA. Studies have shown that mice fed a nucleotide-free diet have both impaired humoral and cellular immune responses. The addition of dietary nucleotides normalizes both types of responses. RNA, a delivery form of nucleotides, and ribonucleotides were used in these studies."
34,"Also used in conjunction with calcium in the management and prevention of primary or corticosteroid-induced osteoporosis.Calcitriol is an active metabolite of vitamin D with 3 hydroxyl (OH) groups and is commonly referred to as 1,25-dihydroxycholecalciferol, or 1alpha,25-dihydroxyvitamin D3, 1,25-dihydroxyvitamin D<sub>3</sub>. Various studies demonstrated expression of vitamin D receptors in cancer cell lines, including mouse myeloid leukemia cells . Vitamin D appears to demonstrate both immune-enhancing and immunosuppressive effects.The mechanism of action of calcitriol in the treatment of psoriasis is accounted for by their antiproliferative activity for keratinocytes and their stimulation of epidermal cell differentiation. The anticarcinogenic activity of the active form of Calcitriol appears to be correlated with cellular vitamin D receptor (VDR) levels. The immunomodulatory activity of calcitriol is thought to be mediated by vitamin D receptors (VDRs) which are expressed constitutively in monocytes but induced upon activation of T and B lymphocytes."
35,"It is also essential for the production of niacin, the synthesis of the neurotransmitter serotonin and melatonin. Tryptophan supplements can be used as natural relaxants to help relieve insomnia. Tryptophan also appears to help the immune system and can reduce the risk of cardiac spasms. Tryptopan serves as the precursor for the synthesis of serotonin (5-hydroxytryptamine, 5-HT) and melatonin (N-acetyl-5-methoxytryptamine).A number of important side reactions occur during the catabolism of tryptophan on the pathway to acetoacetate. Kynurenine is the first key branch point intermediate in the pathway."
36,"Rickets is a condition produced due to a deficiency in vitamin D, calcium or phosphorus. Ergocalciferol was isolated for the first time from yeast in 1931 and its structure was elucidated in 1932. When compared to its vitamin D counterpart , ergocalciferol has been shown to present a reduced induction of calcidiol and hence, it is less potent. Ergocalciferol supplementation in patients with end-stage renal disease has been shown to generate a significant benefit in lab parameters of bone and mineral metabolism as well as improvement in glycemic control, serum albumin levels and reduced levels of inflammatory markers.For its activity, ergocalciferol is required to be transformed to its major active circulating hydroxylated metabolite and transported to the target organs in order to bind to its target, the vitamin D receptor. The activation of the vitamin D receptor is part of the vitamin D endocrine system and it is described by the production of a change in the transcription rates of the vitamin D receptor target genes."
