id,drug_text
123,"For treatment of acute myeloid leukaemia.Aminoacridine derivative that is a potent intercalating antineoplastic agent. It is effective in the treatment of acute leukemias and malignant lymphomas, but has poor activity in the treatment of solid tumors. It is frequently used in combination with other antineoplastic agents in chemotherapy protocols. It produces consistent but acceptable myelosuppression and cardiotoxic effects.Amsacrine is an aminoacridine derivative that is a potent intercalating antineoplastic agent. It is effective in the treatment of acute leukemias and malignant lymphomas, but has poor activity in the treatment of solid tumors. It is frequently used in combination with other antineoplastic agents in chemotherapy protocols. It produces consistent but acceptable myelosuppression and cardiotoxic effects.Amsacrine binds to DNA through intercalation and external binding. It has a base specificity for A-T pairs. Rapidly dividing cells are two to four times more sensitive to amsacrine than are resting cells. Amsacrine appears to cleave DNA by inducing double stranded breaks. Amsacrine also targets and inhibits topoisomerase II. Cytotoxicity is greatest during the S phase of the cell cycle when topoisomerase levels are at a maximum."
124,"For the treatment of the symptoms and reversible airflow obstruction associated with chronic asthma and other chronic lung diseases, such as emphysema and chronic bronchitis.A methylxanthine derivative from tea with diuretic, smooth muscle relaxant, bronchial dilation, cardiac and central nervous system stimulant activities. Mechanistically, theophylline acts as a phosphodiesterase inhibitor, adenosine receptor blocker, and histone deacetylase activator. Theophylline is marketed under several brand names such as Uniphyl and Theochron, and it is indicated mainly for asthma, bronchospasm, and COPD.Theophylline, an xanthine derivative chemically similar to caffeine and theobromine, is used to treat asthma and bronchospasm. Theophylline has two distinct actions in the airways of patients with reversible (asthmatic) obstruction; smooth muscle relaxation (i.e., bronchodilation) and suppression of the response of the airways to stimuli (i.e., non-bronchodilator prophylactic effects).Theophylline relaxes the smooth muscle of the bronchial airways and pulmonary blood vessels and reduces airway responsiveness to histamine, methacholine, adenosine, and allergen. Theophylline competitively inhibits type III and type IV phosphodiesterase (PDE), the enzyme responsible for breaking down cyclic AMP in smooth muscle cells, possibly resulting in bronchodilation. Theophylline also binds to the adenosine A2B receptor and blocks adenosine mediated bronchoconstriction. In inflammatory states, theophylline activates histone deacetylase to prevent transcription of inflammatory genes that require the acetylation of histones for transcription to begin."
125,"For the treatment of documented ventricular arrhythmias, such as sustained ventricular tachycardia, ventricular pre-excitation and cardiac dysrhythmias. It is a Class Ia antiarrhythmic drug.A class I anti-arrhythmic agent (one that interferes directly with the depolarization of the cardiac membrane and thus serves as a membrane-stabilizing agent) with a depressant action on the heart similar to that of guanidine. It also possesses some anticholinergic and local anesthetic properties.Disopyramide is an anti-arrhythmic drug indicated for the treatment of documented ventricular arrhythmias, such as sustained ventricular tachycardia that are life-threatening. At therapeutic plasma levels, disopyramide shortens the sinus node recovery time, lengthens the effective refractory period of the atrium, and has a minimal effect on the effective refractory period of the AV node. Little effect has been shown on AV-nodal and His-Purkinje conduction times or QRS duration. However, prolongation of conduction in accessory pathways occurs.Disopyramide is a Type 1A antiarrhythmic drug (ie, similar to procainamide and quinidine). It inhibits the fast sodium channels. In animal studies Disopyramide decreases the rate of diastolic depolarization (phase 4) in cells with augmented automaticity, decreases the upstroke velocity (phase 0) and increases the action potential duration of normal cardiac cells, decreases the disparity in refractoriness between infarcted and adjacent normally perfused myocardium, and has no effect on alpha- or beta-adrenergic receptors."
126,"Lidocaine is an anesthetic of the amide group indicated for production of local or regional anesthesia by infiltration techniques such as percutaneous injection and intravenous regional anesthesia by peripheral nerve block techniques such as brachial plexus and intercostal and by central neural techniques such as lumbar and caudal epidural blocks [F4349, L5930].Ever since its discovery and availability for sale and use in the late 1940s, lidocaine has become an exceptionally commonly used medication [T583]. In particular, lidocaine's principal mode of action in acting as a local anesthetic that numbs the sensations of tissues means the agent is indicated for facilitating local anesthesia for a large variety of surgical procedures [F4349, L5930, L5948]. It ultimately elicits its numbing activity by blocking sodium channels so that the neurons of local tissues that have the medication applied on are transiently incapable of signaling the brain regarding sensations [F4349, L5930, L5948]. In doing so, however, it can block or decrease muscle contractile, resulting in effects like vasodilation, hypotension, and irregular heart rate, among others [F4349, L5930, L5948]. As a result, lidocaine is also considered a class Ib anti-arrhythmic agent [L5930, L5948, F4468]. Nevertheless, lidocaine's local anesthetic action sees its use in many medical situations or circumstances that may benefit from its action, including the treatment of premature ejaculation [A177625].    Regardless, lidocaine is currently available as a relatively non-expensive generic medication that is written for in millions of prescriptions internationally on a yearly basis. It is even included in the World Health Organization's List of Essential Medicines [L6055].Excessive blood levels of lidocaine can cause changes in cardiac output, total peripheral resistance, and mean arterial pressure [F4349, L5930]. With central neural blockade these changes may be attributable to the block of autonomic fibers, a direct depressant effect of the local anesthetic agent on various components of the cardiovascular system, and/or the beta-adrenergic receptor stimulating action of epinephrine when present [F4349, L5930]. The net effect is normally a modest hypotension when the recommended dosages are not exceeded [F4349, L5930].    In particular, such cardiac effects are likely associated with the principal effect that lidocaine elicits when it binds and blocks sodium channels, inhibiting the ionic fluxes required for the initiation and conduction of electrical action potential impulses necessary to facilitate muscle contraction [F4349, L5930, L5948]. Subsequently, in cardiac myocytes, lidocaine can potentially block or otherwise slow the rise of cardiac action potentials and their associated cardiac myocyte contractions, resulting in possible effects like hypotension, bradycardia, myocardial depression, cardiac arrhythmias, and perhaps cardiac arrest or circulatory collapse [F4349, L5930, L5948].    Moreover, lidocaine possesses a dissociation constant (pKa) of 7.7 and is considered a weak base [L5948]. As a result, about 25% of lidocaine molecules will be un-ionized and available at the physiological pH of 7.4 to translocate inside nerve cells, which means lidocaine elicits an onset of action more rapidly than other local anesthetics that have higher pKa values [L5948]. This rapid onset of action is demonstrated in about one minute following intravenous injection and fifteen minutes following intramuscular injection [L5930]. The administered lidocaine subsequently spreads rapidly through the surrounding tissues and the anesthetic effect lasts approximately ten to twenty minutes when given intravenously and about sixty to ninety minutes after intramuscular injection [L5930].    Nevertheless, it appears that the efficacy of lidocaine may be minimized in the presence of inflammation [L5948]. This effect could be due to acidosis decreasing the amount of un-ionized lidocaine molecules, a more rapid reduction in lidocaine concentration as a result of increased blood flow, or potentially also because of increased production of inflammatory mediators like peroxynitrite that elicit direct actions on sodium channels [L5948].Lidocaine is a local anesthetic of the amide type [F4349, L5930, L5948]. It is used to provide local anesthesia by nerve blockade at various sites in the body [F4349, L5930, L5948]. It does so by stabilizing the neuronal membrane by inhibiting the ionic fluxes required for the initiation and conduction of impulses, thereby effecting local anesthetic action [F4349, L5930, L5948]. In particular, the lidocaine agent acts on sodium ion channels located on the internal surface of nerve cell membranes [F4349, L5930, L5948]. At these channels, neutral uncharged lidocaine molecules diffuse through neural sheaths into the axoplasm where they are subsequently ionized by joining with hydrogen ions [F4349, L5930, L5948]. The resultant lidocaine cations are then capable of reversibly binding the sodium channels from the inside, keeping them locked in an open state that prevents nerve depolarization [F4349, L5930, L5948]. As a result, with sufficient blockage, the membrane of the postsynaptic neuron will ultimately not depolarize and will thus fail to transmit an action potential [F4349, L5930, L5948]. This facilitates an anesthetic effect by not merely preventing pain signals from propagating to the brain but by aborting their generation in the first place [F4349, L5930, L5948].    In addition to blocking conduction in nerve axons in the peripheral nervous system, lidocaine has important effects on the central nervous system and cardiovascular system [F4349, L5930, L5948]. After absorption, lidocaine may cause stimulation of the CNS followed by depression and in the cardiovascular system, it acts primarily on the myocardium where it may produce decreases in electrical excitability, conduction rate, and force of contraction [F4349, L5930, L5948]."
127,"Pamidronate is indicated to treat moderate to severe hypercalcemia of malignancy, moderate to severe Paget's disease of bone, osteolytic bone metastases of breast cancer, and osteolytic lesions of multiple myeloma.[L13838]Pamidronic acid is a second generation, nitrogen containing bisphosphonate similar to [neridronic acid] and [alendronic acid].[A203111] Pamidronic acid was first described in the literature in 1977.[A203267] The second generation bisphosphonates are less common as third generation bisphosphonates, such as [ibandronic acid], [zoledronic acid], [minodronic acid], and [risedronic acid] are becoming more popular.[A203111]    Pamidronic acid was granted FDA approval on 31 October 1991.[L13835]Pamidronic acid is a second generation, nitrogen containing bisphosphonate that inhibits osteoclast mediated bone loss[A203111,A959,L13838] It has a wide therapeutic index and a long duration of action as it can be given every 3-4 weeks for certain indications.[L13838] Patients should be counselled regarding the risk of elevated blood urea nitrogen, renal tubular necrosis, and nephrotoxicity.[L13838]Bisphosphonates are taken into the bone where they bind to hydroxyapatite. Bone resorption by osteoclasts causes local acidification, releasing the bisphosphonate, which is taken into the osteoclast by fluid-phase endocytosis.[A959] Endocytic vesicles become acidified, releasing bisphosphonates into the cytosol of osteoclasts where they act.[A959]    Osteoclasts mediate resorption of bone.[A6366] When osteoclasts bind to bone they form podosomes, ring structures of F-actin.[A6366] Disruption of the podosomes causes osteoclasts to detach from bones, preventing bone resorption.[A6366]    Nitrogen containing bisphosphonates such as pamidronate are known to induce apoptosis of hematopoietic tumor cells by inhibiting the components of the mevalonate pathway farnesyl diphosphate synthase, farnesyl diphosphate, and geranylgeranyl diphosphate.[A202769,A203123,A203111] These components are essential for post-translational prenylation of GTP-binding proteins like Rap1.[A202769,A203123] The lack of prenylation of these proteins interferes with their function, and in the case of Rap1, leads to apoptosis.[A202769,A203123] pamidronate also activated caspases 3 and 9 which further contribute to apoptosis.[A202769,A203123,A203177]"
128,"For the relief of symptoms associated with allergic rhinitis such as sneezing, rhinorrhea, pruritus and acrimation. Also for the management of mild, uncomplicated allergic skin manifestations of urticaria and angioedema. Used as self-medication for temporary relief of symptoms associated with the common cold.An ethanolamine-derivative, first generation histamine H1 antagonist used in hay fever, rhinitis, allergic skin conditions, and pruritus. It causes drowsiness.Clemastine is an antihistamine that also induces anticholinergic and sedative effects. Antihistamines competitively antagonize various physiological effects of histamine including increased capillary permeability and dilatation, the formation of edema, the ""flare"" and ""itch"" response, and gastrointestinal and respiratory smooth muscle constriction. Within the vascular tree, H1- receptor antagonists inhibit both the vasoconstrictor and vasodilator effects of histamine. Depending on the dose, H1- receptor antagonists can produce CNS stimulation or depression. Most antihistamines exhibit central and/or peripheral anticholinergic activity. Antihistamines act by competitively blocking H1- receptor sites. Antihistamines do not pharmacologically antagonize or chemically inactivate histamine, nor do they prevent the release of histamine.Clemastine is a selective histamine H1 antagonist and binds to the histamine H1 receptor. This blocks the action of endogenous histamine, which subsequently leads to temporary relief of the negative symptoms brought on by histamine."
129,"Acarbose is indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus.[L31628]Acarbose is a complex oligosaccharide that acts as an inhibitor of several enzymes responsible for the breakdown of complex carbohydrates in the intestines. It inhibits both pancreatic alpha-amylase and membrane-bound alpha-glucosidases - including intestinal glucoamylase, sucrase, maltase, and isomaltase - which are responsible for the metabolism of complex starches and oligo-, tri-, and disaccharides into absorbable simple sugars.[L31633,A37868] By inhibiting the activity of these enzymes, acarbose limits the absorption of dietary carbohydrates and the subsequent postprandial increase in blood glucose and insulin levels. Acarbose is therefore used in conjunction with diet, exercise, and other pharmacotherapies for the management of blood sugar levels in patients with type 2 diabetes.[L31628,L31633]    Acarbose is one of only two approved alpha-glucosidase inhibitors (the other being [miglitol]), receiving its first FDA approval in 1995 under the brand name Precose (since discontinued).[L31668] This class of antidiabetic therapy is not widely used due to their relatively modest impact on A1c, their requirement for thrice-daily dosing, and the potential for significant gastrointestinal adverse effects.[L31668]Acarbose is a complex oligosaccharide that competitively inhibits the ability of brush-border alpha-glucosidase enzymes to break down ingested carbohydrates into absorbable monosaccharides, reducing carbohydrate absorption and subsequent postprandial insulin levels.[A37868] Acarbose requires the co-administration of carbohydrates in order to exert its therapeutic effect, and as such should be taken with the first bite of a meal three times daily[L31633] Patients maintained on acarbose in addition to other antidiabetic agents should be aware of the symptoms and risks of hypoglycemia and how to treat hypoglycemic episodes. There have been rare post-marketing reports of the development of pneumatosis cystoides intestinalis following treatment with alpha-glucosidase inhibitors - patients experiencing significant diarrhea/constipation, mucus discharge, and/or rectal bleeding should be investigated and, if pneumatosis cystoides intestinalis is suspected, should discontinue therapy.[L31628]Alpha-glucosidase enzymes are located in the brush-border of the intestinal mucosa and serve to metabolize oligo-, tri-, and disaccharides (e.g. sucrose) into smaller monosaccharides (e.g. glucose, fructose) which are more readily absorbed.[A37868] These work in conjunction with pancreatic alpha-amylase, an enzyme found in the intestinal lumen that hydrolyzes complex starches to oligosaccharides.[L31633]    Acarbose is a complex oligosaccharide that competitively and reversibly inhibits both pancreatic alpha-amylase and membrane-bound alpha-glucosidases - of the alpha-glucosidases, inhibitory potency appears to follow a rank order of glucoamylase > sucrase > maltase > isomaltase.[L31633] By preventing the metabolism and subsequent absorption of dietary carbohydrates, acarbose reduces postprandial blood glucose and insulin levels."
130,"Venlafaxine is indicated for the management of major depressive disorder (MDD), generalized anxiety disorder (GAD), social anxiety disorder (SAD), and panic disorder.[L43030]Venlafaxine is an antidepressant and a serotonin and norepinephrine reuptake inhibitor (SNRI). Its active metabolite, [desvenlafaxine], works by blocking the reuptake of serotonin and norepinephrine, which are key neurotransmitters in mood regulation. Venlafaxine is officially approved to treat major depressive disorder (MDD), generalized anxiety disorder (GAD), social anxiety disorder, and panic disorder in adults.[L43030] The immediate formulation of the drug, marketed as Effexor, was first approved by the FDA in 1993 and the extended-release formulation, Effexor XR, was later introduced in 1997.[A252065]    Venlafaxine has been used as a first-line treatment for MDD, GAD, social anxiety disorder, and panic disorder in Canada for many years. It was also considered a second-line treatment for obsessive-compulsive disorder (OCD).[A177226,A177235] Venlafaxine was also investigated in off-label uses for the prophylaxis of migraine headaches,[A413,A177229] for reduction of vasomotor symptoms associated with menopause,[A177238] and for the management of neuropathic pain (although there is only minimal evidence of efficacy for this condition).[A177232]Venlafaxine is an antidepressant agent that works to ameliorate the symptoms of various psychiatric disorders by increasing the level of neurotransmitters in the synapse. Venlafaxine does not mediate muscarinic, histaminergic, or adrenergic effects.[L43030]The exact mechanism of action of venlafaxine in the treatment of various psychiatric conditions has not been fully elucidated; however, it is understood that venlafaxine and its active metabolite O-desmethylvenlafaxine (ODV) potently and selectively inhibits the reuptake of both serotonin and norepinephrine at the presynaptic terminal.[A27600,A252065,L43030] This results in increased levels of neurotransmitters available at the synapse that can stimulate postsynaptic receptors.[A252075] It is suggested that venlafaxine has a 30-fold selectivity for serotonin compared to norepinephrine: venlafaxine initially inhibits serotonin reuptake at low doses, and with higher doses, it inhibits norepinephrine reuptake in addition to serotonin.[A252065,A252070] Venlafaxine and ODV are also weak inhibitors of dopamine reuptake.[L43030]"
131,"The conjugated estrogens are indicated for several different conditions including:    - Treatment of moderate to severe vasomotor symptoms due to menopause.  - Treatment of moderate to severe symptoms of vulvar and vaginal atrophy due to menopause.  - Treatment of hypoestrogenism due to hypogonadism, castration or primary ovarian failure.  - Palliative treatment of breast cancer in appropriately selected patients with metastatic disease.  - Palliative treatment of androgen-dependent carcinoma of the prostate.  - Preventive therapy of postmenopausal osteoporosis.[A38238] The conjugated estrogens are noncrystalline mixtures of purified female sex hormones obtained either by its isolation from the urine of pregnant mares or by synthetic generation from vegetal material. Both of these products are later conjugated to natrium sulfate by ester bonds in order to make them more water soluble.[L5605, T475]     The conjugated estrogen product contains a mix of estrogen from which about 50% is represented by estrone sulfate followed by 25% of equilin sulfate, 15% of 17-alpha-dehydroequilenin sulfate, 3% of equilenin sulfate, 5% of 17-alpha and 17-beta-dihydroequilenin sulfate, 2% of 17-alpha-estradiolsulfate and 3% of 17-beta-estradiolsulfate. It also presents a large number of unidentified molecules with weak estrogenic activity as well as non-human molecules when it is obtained from pregnant mares urine.[T475]     The conjugated estrogen mixture was approved for marketing in US in 1942 based on the efficacy against certain conditions. However, until 1986 official clinical trials were performed and this product was determined to be effective for the treatment of osteoporosis.[T484] The currently approved product of conjugated estrogens was developed by Wyeth Ayerst and FDA approved in 2003.[L5608]The binding of estrogens to the estrogen receptor produces the activation of nuclear receptors in order to bind to estrogen response elements in certain target genes. This mechanistic cascade results in histone acetylation, alteration of chromatin conformation and the initiation of transcription of certain specific drugs.[L5605]    In preclinical studies, the conjugated estrogens are known to have a similar estrogenic potency than estrone and the equilin components of the conjugated estrogens have similar potency in the liver when compared to bioidentical estradiol.[A35765] It has also been tested and confirmed that conjugated estrogens present a selective estrogen receptor modulator profile which allows it to have a large beneficial effect on the bone and cardiovascular system.[A175597]    Clinically, the administration of conjugated estrogens is known to promote vasomotor stability, maintain genitourinary function, and normal growth and development of female sex hormones. It has also been shown to prevent accelerated bone loss by inhibiting bone resorption and restoring the balance of bone resorption. In the hormonal area, it is shown to inhibit luteinizing hormone and decrease the serum concentration of testosterone.[T147]The conjugated estrogens, equally to the normal physiological estrogen, work by agonistically binding to the estrogen receptors alpha and beta. The estrogen receptors vary in quantity and proportion according to the tissues and hence, the activity of this conjugated estrogens is very variable.[A38238]    The activity made by the conjugated estrogens is driven by the increase in the synthesis of DNA, RNA and various proteins in responsive tissues which in order will reduce the release of gonadotropin-releasing hormone, follicle-stimulating hormone and leuteinizing hormone.[T147]    The specific mechanism of action cannot be described only in terms of total estrogenic action as the pharmacokinetic profile, the tissue specificity and the tissue metabolism is different for each component of the product.[T475] "
132,"Travoprost is indicated for the reduction of elevated intraocular pressure in patients with open-angle glaucoma or ocular hypertension.[L49434, L49429, L49515] It is also used in pediatric patients aged two months to less than 18 years.[L5146] Travoprost is a synthetic isopropyl ester prodrug of a prostaglandin F2alpha (F2α) analogue and selective FP prostanoid receptor agonist. It is used to decrease intraocular pressure in open-angle glaucoma and ocular hypertension.[L49434] Unlike other prostaglandin analogues, travoprost demonstrates full agonism and high selectivity at the prostanoid receptor, reporting a higher efficacy in reducing intraocular pressure and a reduced risk for developing off-target side effects.[A262904]Travoprost demonstrates preferential affinity and full agonist activity for the prostaglandin FP receptor in the nanomolar range.[A262914] Travoprost shows no significant affinity for other prostanoid or non-prostanoid receptors.[A262904]    Travoprost-induced reduction of intraocular pressure is observed about two hours after administration, and the maximum effect is reached after 12 hours. Significant lowering of intraocular pressure can be maintained for periods exceeding 24 hours with a single dose.[L5146]Travoprost is a prodrug. Upon administration, travoprost is absorbed through the cornea and hydrolyzed to its active metabolite, travoprost free acid. The ester moiety of the free acid allows for enhanced penetration into the aqueous humour.[A262899] While the exact mechanism of travoprost is largely unknown, it is believed to be related to its full agonist activity for the prostaglandin FP receptor.[L49434] By binding to the FP receptor, travoprost free acid increases the outflow of aqueous humour via the trabecular meshwork and uveoscleral pathways, thereby reducing the intraocular pressure.[A262899, L5146, L49434]"
133,"For the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses.Amcinonide is a corticosteroid.Amcinonide is a topical corticosteroid. The topical corticosteroids constitute a class of primarily synthetic steroids used as anti-inflammatory and antipruritic agents. Amcinonide reduces or inhibits the actions of chemicals in the body that cause inflammation, redness, and swelling. The mechanism of anti-inflammatory activity of the topical corticosteroids is unclear. Various laboratory methods, including vasoconstrictor assays, are used to compare and predict potencies and/or clinical efficacies of the topical corticosteroids. There is some evidence to suggest that a recognizable correlation exists between vasoconstrictor potency and therapeutic efficacy in man. When in an ointment form, amcinonide also helps the skin maintain moisture.The mechanism of the anti-inflammatory activity of the topical steroids, in general, is unclear. However, corticosteroids are thought to act by the induction of phospholipase A2 inhibitory proteins, collectively called lipocortins. It is postulated that these proteins control the biosynthesis of potent mediators of inflammation such as prostaglandins and leukotrienes by inhibiting the release of their common precursor, arachidonic acid. Arachidonic acid is released from membrane phospholipids by phospholipase A2. Amcinonide has affinity for the glucocorticoid receptor. It has weak affinity for the progesterone receptor, and virtually no affinity for the mineralocorticoid, estrogen, or androgen receptors."
134,"Atomoxetine is indicated for the treatment of attention deficit hyperactivity disorder (ADHD) in children and adults.Atomoxetine is a selective norepinephrine (NE) reuptake inhibitor used for the treatment of attention deficit hyperactivity disorder (ADHD). Also known as the marketed product Strattera, atomoxetine is used with other treatment modalities (psychological, educational, cognitive behaviour therapy, etc) to improve developmentally inappropriate symptoms associated with ADHD including distractibility, short attention span, hyperactivity, emotional lability, and impulsivity. Although the underlying pathophysiology that causes ADHD remains unclear, evidence suggests that dysregulation in noradrenergic and dopaminergic pathways plays a critical role in suboptimal executive functioning within prefrontal regions of the brain, which are involved in attention and memory.[A178090] Atomoxetine has been shown to specifically increase NA and DA within the prefrontal cortex, but not in the nucleus accumbens (NA) or striatum.[A18262] This is beneficial in the treatment of ADHD as DA activation in the subcortical NA and striatum is associated with many stimulant-associated side effects and an increase in abuse potential, which is a limiting factor associated with the use of stimulant medications such as [DB00422], [DB01576], and [DB01255].[A18262] Use of non-stimulant medications such as atomoxetine is therefore thought to offer a clinical advantage over the use of traditional medications for the management of ADHD. More recently, positron emission tomography (PET) imaging studies in rhesus monkeys have shown that atomoxetine also binds to the serotonin transporter (SERT),[A178111] and blocks the N-methyl-d-aspartate (NMDA) receptor,[A18263] indicating a role for the glutamatergic system in the pathophysiology of ADHD.     Long-acting formulations of psychostimulants (such as [DB00422], [DB01576], and [DB01255]) are typically considered the most effective and first-line treatment for ADHD in adults and children as recommended by CADDRA (Canadian ADHD Resource Alliance).[L6037] However, these stimulant medications are limited by dose-related side effects and concerns of abuse. Many contain a blackbox warning stating that CNS stimulants, including methylphenidate-containing products and amphetamines, have a high potential for abuse and dependence.[A177556] Concerns about abuse potential have spurred research into medications with fewer effects on DA and the use of non-stimulant ADHD medications including atomoxetine, [DB00745] and [DB01018]. The non-stimulant norepinephrine/dopamine reuptake inhibitor [DB01156] (commonly used for the treatment of depression and for smoking cessation) has also been shown to be effective in the treatment of ADHD.[A178099]Atomoxetine is a selective norepinephrine (NE) reuptake inhibitor used for the treatment of attention deficit hyperactivity disorder (ADHD). Atomoxetine has been shown to specifically increase norepinephrine and dopamine within the prefrontal cortex, which results in improved ADHD symptoms.[A18262, A18262, F4639]    Due to atomoxetine's noradrenergic activity, it also has effects on the cardiovascular system such as increased blood pressure and tachycardia.[T244] Sudden deaths, stroke, and myocardial infarction have been reported in patients taking atomoxetine at usual doses for ADHD. Atomoxetine should be used with caution in patients whose underlying medical conditions could be worsened by increases in blood pressure or heart rate such as certain patients with hypertension, tachycardia, or cardiovascular or cerebrovascular disease. It should not be used in patients with severe cardiac or vascular disorders whose condition would be expected to deteriorate if they experienced clinically important increases in blood pressure or heart rate. Although the role of atomoxetine in these cases is unknown, consideration should be given to not treating patients with clinically significant cardiac abnormalities. Patients who develop symptoms such as exertional chest pain, unexplained syncope, or other symptoms suggestive of cardiac disease during atomoxetine treatment should undergo a prompt cardiac evaluation.[F4639]    In general, particular care should be taken in treating ADHD in patients with comorbid bipolar disorder because of concern for possible induction of a mixed/manic episode in patients at risk for bipolar disorder. Treatment emergent psychotic or manic symptoms, e.g., hallucinations, delusional thinking, or mania in children and adolescents without a prior history of psychotic illness or mania can be caused by atomoxetine at usual doses. If such symptoms occur, consideration should be given to a possible causal role of atomoxetine, and discontinuation of treatment should be considered.[F4639]    Atomoxetine capsules increased the risk of suicidal ideation in short-term studies in children and adolescents with Attention-Deficit/Hyperactivity Disorder (ADHD). All pediatric patients being treated with atomoxetine  should be monitored appropriately and observed closely for clinical worsening, suicidality, and unusual changes in behavior, especially during the initial few months of a course of drug therapy, or at times of dose changes, either increases or decreases.[F4639]    Postmarketing reports indicate that atomoxetine can cause severe liver injury. Although no evidence of liver injury was detected in clinical trials of about 6000 patients, there have been rare cases of clinically significant liver injury that were considered probably or possibly related to atomoxetine use in postmarketing experience. Rare cases of liver failure have also been reported, including a case that resulted in a liver transplant. Atomoxetine should be discontinued in patients with jaundice or laboratory evidence of liver injury, and should not be restarted. Laboratory testing to determine liver enzyme levels should be done upon the first symptom or sign of liver dysfunction (e.g., pruritus, dark urine, jaundice, right upper quadrant tenderness, or unexplained “flu like�?symptoms).[F4639]Atomoxetine is known to be a potent and selective inhibitor of the norepinephrine transporter (NET),[A175723] which prevents cellular reuptake of norepinephrine throughout the brain, which is thought to improve the symptoms of ADHD. More recently, positron emission tomography (PET) imaging studies in rhesus monkeys have shown that atomoxetine also binds to the serotonin transporter (SERT),[A178111] and blocks the N-methyl-d-aspartate (NMDA) receptor,[A18263] indicating a role for the glutamatergic system in the pathophysiology of ADHD. "
135,"For treatment of chronic lymphatic (lymphocytic) leukemia,  childhood minimal-change nephrotic syndrome, and malignant lymphomas including lymphosarcoma, giant follicular lymphoma, Hodgkin's disease,  non-Hodgkin's lymphomas, and Waldenström’s Macroglobulinemia.A nitrogen mustard alkylating agent used as antineoplastic agent for the treatment of various malignant and nonmalignant diseases. Although it is less toxic than most other nitrogen mustards, it has been listed as a known carcinogen in the Fourth Annual Report on Carcinogens (NTP 85-002, 1985). (Merck Index, 11th ed)Chlorambucil is an antineoplastic in the class of alkylating agents that is used to treat various forms of cancer. Alkylating agents are so named because of their ability to add alkyl groups to many electronegative groups under conditions present in cells. They stop tumor growth by cross-linking guanine bases in DNA double-helix strands - directly attacking DNA. This makes the strands unable to uncoil and separate. As this is necessary in DNA replication, the cells can no longer divide. In addition, these drugs add methyl or other alkyl groups onto molecules where they do not belong which in turn inhibits their correct utilization by base pairing and causes a miscoding of DNA. Alkylating agents are cell cycle-nonspecific. Alkylating agents work by three different mechanisms all of which achieve the same end result - disruption of DNA function and cell death.Alkylating agents work by three different mechanisms: 1) attachment of alkyl groups to DNA bases, resulting in the DNA being fragmented by repair enzymes in their attempts to replace the alkylated bases, preventing DNA synthesis and RNA transcription from the affected DNA, 2) DNA damage via the formation of cross-links (bonds between atoms in the DNA) which prevents DNA from being separated for synthesis or transcription, and 3) the induction of mispairing of the nucleotides leading to mutations."
136,"Used in the induction of general anesthesia.Imidazole derivative anesthetic and hypnotic with little effect on blood gases, ventilation, or the cardiovascular system. It has been proposed as an induction anesthetic.Etomidate is a non-barbiturate hypnotic that acts at the level of the reticular-activating system to produce anesthesia. Etomidate is an imidazole compound that appears to depress CNS function via GABA. Duration of action is intermediate between thiopental and methohexital, and recovery from a single dose is rapid with little residual depression. Like the barbiturates and propofol, etomidate is does not induce analgesia. Etomidate induces unconsciousness within one circulation time. Recovery is rapid as a result of extensive redistribution and rapid metabolism.Etomidate binds at a distinct binding site associated with a Cl- ionopore at the GABAA receptor, increasing the duration of time for which the Cl- ionopore is open. The post-synaptic inhibitory effect of GABA in the thalamus is, therefore, prolonged."
137,"For the treatment of malignant neoplasm of colon and rectumRaltitrexed (brand name Tomudex&reg;) is a chemotherapy drug manufactured AstraZeneca Company, is an antimetabolite used in chemotherapy. It is an inhibitor of thymidylate synthase.Raltitrexed belongs to a group of medicines known as antimetabolites. It is used to treat cancer of the colon and rectum. It may also be used to treat other kinds of cancer, as determined by your doctor. Raltitrexed blocks an enzyme needed by the cell to live. This interferes with the growth of cancer cells, which are eventually destroyed. Since the growth of normal body cells may also be affected by raltitrexed, other effects will also occur. Some of these may be serious and must be reported to your doctor. Other effects, like hair loss, may not be serious but may cause concern.Raltitrexed is an antineoplastic Agents and folic acid antagonists. Raltitrexed inhibits thymidylate synthase (TS) leading to DNA fragmentation and cell death. It is transported into cells via a reduced folate carrier. Inside the cell Raltitrexed is extensively polyglutamated, which enhances thymidylate synthase inhibitory power and duration. Inhibition of this enzyme results in decreased synthesis of thymidine triphosphate which is required for DNA synthesis. "
