id,drug_id,drug_text
10,DB00013,"In Canada, urokinase is indicated for lysis of acute massive pulmonary emboli, acute thrombi obstructing coronary arteries, occlusive thromboemboli in peripheral arteries and grafts, and restoration of patency to intravenous catheters.Urokinase is an endogenous peptide that is cleaved in the presence of plasmin between lysine 158 and isoleucine 159 to yield active urokinase. Urokinase remains connected between these 2 chains by a sulfhydryl bond. Urokinase was granted FDA approval on 16 January 1978.Urokinase is a serine protease that activates plasminogen to an active fibrinolytic protease. The duration of action is short due to the short half life. Patients should be counselled regarding the risk of bleeding, anaphylaxis, infusion reactions, and cholesterol embolization."
11,DB00014,"Goserelin is indicated for:    - Use in combination with flutamide for the management of locally confined carcinoma of the prostate  - Palliative treatment of advanced carcinoma of the prostate  - The management of endometriosis  - Use as an endometrial-thinning agent prior to endometrial ablation for dysfunctional uterine bleeding  - Use in the palliative treatment of advanced breast cancer in pre- and perimenopausal womenGoserelin is a synthetic hormone. In men, it stops the production of the hormone testosterone, which may stimulate the growth of cancer cells. In women, goserelin decreases the production of the hormone estradiol (which may stimulate the growth of cancer cells) to levels similar to a postmenopausal state. When the medication is stopped, hormone levels return to normal.The pharmacokinetics of goserelin have been determined in both male and female healthy volunteers and patients. In these studies, goserelin was administered as a single 250µg (aqueous solution) dose and as a single or multiple 3.6 mg depot dose by subcutaneous route.Goserelin is a synthetic decapeptide analogue of LHRH."
12,DB00015,"For lysis of acute pulmonary emboli, intracoronary emboli, and management of myocardial infarction.Human tissue plasminogen activator, purified, glycosylated, 355 residues purified from CHO cells. Retavase is considered a ""third-generation"" thrombolytic agent, genetically engineered to retain and delete certain portions of human tPA. Retavase is a deletion mutein of human tPA formed by deleting various amino acids present in endogenous human tPA. Retavase contains 355 of the 527 amino acids of native human tPA (amino acids 1-3 and 176-527), and retains the activity-related kringle-2 and serine protease domains of human tPA. The protease domain then cleaves the Arg/Val bond in plasminogen to form plasmin."
13,DB00016,"Epoetin alfa is a 165-amino acid erythropoiesis-stimulating glycoprotein produced in cell culture using recombinant DNA technology and is used for the treatment of patients with anemia associated with various clinical conditions, such as chronic renal failure, antiviral drug therapy, chemotherapy, or a high risk for perioperative blood loss from surgical procedures . It has a molecular weight of approximately 30,400 daltons and is produced by mammalian cells into which the human erythropoietin gene has been introduced. The product contains the identical amino acid sequence of isolated natural erythropoietin and has the same biological activity as the endogenous erythropoietin. In anemic patients with chronic renal failure (CRF), administration with epoetin alfa stimulated erythropoiesis by increasing the reticulocyte count within 10 days, followed by increases in the red cell count, hemoglobin, and hematocrit, usually within 2 to 6 weeks . The affinity (Kd) of EPO for its receptor on human cells is �?00 to 200 pM ."
14,DB00017,"Used in the treatment of symptomatic Paget's disease for patients unresponsive to alternate treatments or intolerant to such treatments. In addition, it is used in emergency situations when serum calcium levels must be decreased quickly until the underlying condition is identified. It can also be added to existing therapeutic regimens for hypercalcemia such as intravenous fluids and furosemide, oral phosphate or corticosteroids, or other agents. Synthetic peptide, 32 residues long formulated as a nasal spray.Calcitonin inhibits bone resorption by osteoclasts (bone remodeling cells) and promotes bone formation by osteoblasts. In consequence, there is an increase in the jejunal secretion of water, sodium, potassium, and chloride.Calcitonin binds to the calcitonin receptor (found primarily in osteoclasts) which then enhances the production of vitamin D producing enzymes (25-hydroxyvitamine D-24-hydroxylase), leading to greater calcium retention and enhanced bone density."
15,DB00018,"For the intralesional treatment of refractory or recurring external condylomata acuminata.Purified, natural (n is for natural) human interferon alpha proteins (consists of 3 forms or polymorphisms including 2a, 2b and 2c). 166 residues, some are glycosylated (MW range from 16 kD to 27 kD).Interferon alfa-n3 upregulates the expression of MHC I proteins, allowing for increased presentation of peptides derived from viral antigens. This enhances the activation of CD8+ T cells that are the precursors for cytotoxic T lymphocytes (CTLs) and makes the macrophage a better target for CTL-mediated killing. Interferon alpha also induce the synthesis of several key antiviral mediators, including 2'-5' oligoadenylate synthetase (2'-5' A synthetase), beta-2 microglobulin, neopterin and protein kinase R.Interferon alpha binds to type I interferon receptors (IFNAR1 and IFNAR2c) which, upon dimerization, activate two Jak (Janus kinase) tyrosine kinases (Jak1 and Tyk2). These transphosphorylate themselves and phosphorylate the receptors."
16,DB00019,"The drug is approved for use to decrease the incidence of infection, as manifested by febrile neutropenia, in susceptible patients with with non-myeloid cancer receiving myelosuppressive anti-cancer treatment. Although the risk of developing febrile neutropenia is less than 20% in many readily used chemotherapy regimens, infections pose risks of hospitalization and mortalities. These biosimilars are highly similar to the reference product, Neulasta, in terms of pharmacological and pharmacokinetic profile and conditions of use.Pegfilgrastim is a recombinant human granulocyte colony-stimulating factor (G-CSF) that promotes the production, proliferation, and maturation of neutrophils, which are white blood cells involved in both innate and adaptive immune responses. Serum concentrations of pegfilgrastim decline as the neutrophil count increases as neutrophil and neutrophil precursors are involved in cell-mediated clearance of the drug. Pegfilgrastim mimics its biological actions and binds to the same G-CSF receptor expressed on cells of myeloid lineage, such as granulocytic precursors and mature neutrophils."
17,DB00020,"For the treatment of cancer and bone marrow transplantSargramostim is a human recombinant granulocyte macrophage colony-stimulating factor (GM-CSF) expressed in yeast. It is a glycoprotein that is 127 residues. Substitution of Leu23 leads to a difference from native protein.Sargramostim is used in the treatment of bone marrow transplant recipients or those exposed to chemotherapy an recovering from acut myelogenous leukemia, Leukine or GM-CSF is a hematopoietic growth factor which stimulates the survival, clonal expansion (proliferation) and differentiation of hematopoietic progenitor cells. GM-CSF is also capable of activating mature granulocytes and macrophages. After a bone marrow transplant or chemotherapy, patients have a reduced capacity to produce red and white blood cells."
18,DB00022,"It is also indicated for the adjuvant treatment of melanoma with microscopic or gross nodal involvement within 84 days of definitive surgical resection, including complete lymphadenectomy.Peginterferon alfa-2b is a form of recombinant interferon used as part of combination therapy to treat chronic Hepatitis C, an infectious liver disease caused by infection with Hepatitis C Virus (HCV). Treatment options for chronic Hepatitis C have advanced significantly since 2011, with the development of Direct Acting Antivirals (DAAs) resulting in less use of Peginterferon alfa-2b. Peginterferon alfa-2b is derived from the alfa-2b moeity of recombinant human interferon and acts by binding to human type 1 interferon receptors. Peginterferon alfa-2b is available as a variable dose injectable product (tradename Pegintron) used for the treatment of chronic Hepatitis C. Approved in 2001 by the FDA, Pegintron is indicated for the treatment of HCV with  or other antiviral drugs . This activates the JAK/STAT pathway."
19,DB00023,"Indicated as a component of a multi-agent chemotherapeutic regimen for the treatment of patients with acute lymphoblastic leukemia (ALL).Asparaginase derived from _Escherichia coli_ (L-asparagine amidohydrolase, EC 3.5.1.1) is an enzyme responsible for the metabolism of L-asparagine, by catalyzing L-asparagine into L-aspartic acid and ammonia. Asparaginase from _E. coli_ works by depleting the levels of non-essential amino acid, asparagine, in lymphoblastic leukemic cells thus promoting apoptotic cell death . coli_-derived formulations of L-asparaginase, the use of PEGylated or non-PEGylated  is recommended .In clinical trials of patients with previously untreated, standard-risk ALL, administration of asparaginase resulted in a decrease of plasma asparagine levels from average of 41 μM to less than 3 μM . L-asparagine from E. coli serves to deplete plasma levels of asparagine in leukemic cells by converting L-asparagine to L-aspartic acid and ammonia , leading to reduced reduced DNA, RNA and protein synthesis; inhibition of cell growth; and ultimately the activation of apoptotic cell-death mechanisms ."
20,DB00024,"For detection of residueal or recurrent thyroid cancerThyrotropin alfa is a recombinant form of thyroid stimulating hormone used in performing certain tests in patients who have or have had thyroid cancer. It is a heterodimeric glycoprotein comprised of two non-covalently linked subunits, an alpha subunit of 92 amino acid residues containing two N-linked glycosylation sites and a beta subunit of 112 residues containing one N-linked glycosylation site. The alpha subunit of thyrotropin alfa, which is the effector region responsible for the stimulation of adenylate cyclase, displays close structural similarity with the alpha subunit of human chorionic gonadotropin (hCG), luteinizing hormone (LH), and follicle-stimulating hormone (FSH). The beta subunit (TSHB) bestows its receptor specificity due to the uniqueness to TSH. The amino acid sequence of thyrotropin alfa is identical to that of human pituitary thyroid stimulating hormone.Binding of thyrotropin alfa to TSH receptors on normal thyroid epithelial cells or on well-differentiated thyroid cancer tissue stimulates iodine uptake and organification."
21,DB00025,"The human recombinant antihemophilic factor is indicated for use in adults and children with hemophilia A for the control and prevention of bleeding episodes, perioperative management, and routine prophylaxis to prevent or reduce the frequency of bleeding episodes.Human recombinant antihemophilic factor (AHF) or Factor VIII, 2332 residues, glycosylated, produced by CHO cellsAntihemophilic Factor binds factor IXa along with calcium and phospholipid, This complex converts factor X to factor Xa to facilitate clotting cascade.Antihemophilic factor (AHF) is a protein found in normal plasma which is necessary for clot formation. The administration of AHF provides an increase in plasma levels of AHF and can temporarily correct the coagulation defect of patients with hemophilia A (classical hemophilia)."
22,DB00026,"Anakinra is also indicated for the treatment of Neonatal-Onset Multisystem Inflammatory Disease (NOMID) and the treatment of Deficiency of Interleukin-1 Receptor Antagonist (DIRA). Since anakinra is approved for this condition under EUA, the drug should only be used when there are no alternative treatment available.Anakinra is a recombinant human interleukin-1 (IL-1) receptor antagonist (IL-1Ra) composed of 153 amino acid residues. On November 8, 2022, the FDA issued an emergency use authorization (EUA) of anakinra for the treatment of COVID-19 in hospitalized patients who are at risk of progressing to severe respiratory failure.Anakinra is a recombinant human interleukin-1 receptor antagonist (IL-1Ra) that blocks the biologic activity of interleukin-1 (IL-1) by competitively inhibiting its ability to bind to the IL-1 type I receptor (IL-1RI). Anakinra can also be used in the treatment of neonatal-onset multisystem inflammatory disease (NOMID) and deficiency of interleukin-1 receptor antagonist (DIRA). Patients with NOMID have spontaneous mutations in CIAS1/NLRP3, a gene that encodes cryopyrin, an inflammasome component."
23,DB00027,"For treatment of skin lesions, surface wounds and eye infections.Gramcidin D is a heterogeneous mixture of three antibiotic compounds, gramicidins A, B and C, making up 80%, 6%, and 14% respectively all of which are obtained from the soil bacterial species Bacillus brevis and called collectively gramicidin D. Gramcidins are 15 residue peptides with alternating D and L amino acids, which assemble inside of the hydrophobic interior of the cellular lipid bilayer to form a β-helix. Active against most Gram-positive bacteria and some Gram-negative organisms, Gramicidin D is used primarily as a topical antibiotic and is also found in Polysporin ophthalmic solution.Gramicidin is particularly effective against gram-positive bacteria. Because the drug is highly hemolytic, it cannot be administered internally and so is used only on the skin as a lotion or ointment. It is used primarily in the treatment of infected surface wounds, and in eye, nose, and throat infections.Gramicidin D binds to and inserts itself into bacterial membranes (with a strong preference to gram-positive cell membranes). This results in membrane disruption and permeabilization (it acts as a channel)."
24,DB00028,"Human immunoglobulin G is indicated for the following conditions:    Primary Immunodeficiency  - for the treatment of primary immunodeficiency in adult and pediatric patients   . The purification process includes cold alcohol fractionation, polyethylene glycol precipitation, and ion exchange chromatography. IVIg contains the same distribution of IgG antibody subclasses as is found in the general human population. The immunoglobulins target, bind and kill bacterial cells as well as viral particles. These target inhaled or ingested pathogens.IVIg interacts with a number of different components of the immune system, including cytokines, complement, Fc receptors and several cell surface immunocompetent molecules."
25,DB00029,"For lysis of acute pulmonary emboli, intracoronary emboli and management of myocardial infarctionHuman tissue plasminogen activator, purified, glycosylated, 527 residues purified from CHO cells. Eminase is a lyophilized (freeze-dried) formulation of anistreplase, the p-anisoyl derivative of the primary Lys-plasminogen-streptokinase activator complex (a complex of Lys-plasminogen and streptokinase). A p-anisoyl group is chemically conjugated to a complex of bacterial-derived streptokinase and human Plasma-derived Lys-plasminogen proteins.Anistreplase cleaves the Arg/Val bond in plasminogen to form plasmin. Plasmin in turn degrades the fibrin matrix of the thrombus, thereby exerting its thrombolytic action. This helps eliminate blood clots or arterial blockages that cause myocardial infarction.Anistreplase cleaves the Arg/Val bond in plasminogen to form plasmin."
26,DB00030,"Typically prescribed for the management of diabetes mellitus, insulin is a peptide hormone produced by beta cells of the pancreas that promotes glucose metabolism. Insulin is an important treatment in the management of Type 1 Diabetes (T1D) which is caused by an autoimmune reaction that destroys the beta cells of the pancreas, resulting in the body not being able to produce or synthesize the insulin needed to manage circulating blood sugar levels. Insulin is also used in the treatment of Type 2 Diabetes (T2D), another form of diabetes mellitus that is a slowly progressing metabolic disorder caused by a combination of genetic and lifestyle factors that promote chronically elevated blood sugar levels. Human insulin is also available in an intermediate-acting form as NPH (Neutral Protamine Hagedorn) as the marketed products Novolin N and Humulin N. NPH insulin is provided as a crystalline suspension of insulin with protamine and zinc, resulting in an onset of action in 1 to 3 hours, duration of action up to 24 hours, and peak action from 6 to 8 hours. Akt regulates the activity of glucose transporter 4 (GLUT4) and protein kinase C (PKC) which play a critical role in metabolism and catabolism."
27,DB00031,"For treatment of myocardial infarction and lysis of intracoronary emboliTenecteplase is a tissue plasminogen activator (tPA) developed from modifications of natural human tPA complementary DNA (cDNA). It is a 527 amino acid with a substitution of threonine 103 with asparagine and substitution of asparagine 117 with glutamine within the kringle 1 domain, and a tetra-alanine substitution at amino acids 296-299 in the protease domain.Tenecteplase is a fibrin-specific tissue-plasminogen activator. It binds to fibrin rich clots and cleaves the Arg/Val bond in plasminogen to form plasmin. Plasmin in turn degrades the fibrin matrix of the thrombus, thereby exerting its thrombolytic action. Plasmin in turn degrades the fibrin matrix of the thrombus, thereby exerting its thrombolytic action."
28,DB00033,"Interferon gamma-1b is used for the treatment of Chronic granulomatous disease and Osteopetrosis.Human Interferon gamma-1b (140 residues), produced from E. coli. Production of Actimmune is achieved by fermentation of a genetically engineered Escherichia coli bacterium containing the DNA which encodes for the human protein. Purification of the product is achieved by conventional column chromatography. The sequence displayed is a cDNA sequence which codes for human interferon gamma, as described by Gray et. al. and not specifically interferon gamma 1b.IFN gamma stimulates expression of the immunoglobulin heavy chain C gamma 3 and C gamma 2a germline transcripts in B cells."
29,DB00034,"For the treatment of chronic hepatitis C, hairy cell leukemia, AIDS-related Kaposi's sarcoma, and chronic myelogenous leukemia. It is used extensively as an antiviral or antineoplastic agent. An oral form is being developed by Amarillo Biosciences.Upregulates the expression of MHC I proteins, allowing for increased presentation of peptides derived from viral antigens. Interferon alpha also induce the synthesis of several key antiviral mediators, including 2'-5' oligoadenylate synthetase (2'-5' A synthetase) and protein kinase R.Interferon alpha binds to type I interferon receptors (IFNAR1 and IFNAR2c) which, upon dimerization, activate two Jak (Janus kinase) tyrosine kinases (Jak1 and Tyk2). Interferon alpha binds less stably to type I interferon receptors than interferon beta."
30,DB00035,"- Indicated for patients with hemophilia A with factor VIII coagulant activity levels greater than 5% or mild to moderate classic von Willebrand's Disease (Type I) with factor VIII levels greater than 5% during surgical procedures and postoperatively to maintain hemostasis (parenteral).Desmopressin (dDAVP), a synthetic analogue of 8-arginine vasopressin (ADH), is an antidiuretic peptide drug modified by deamination of 1-cysteine and substitution of 8-L-arginine by 8-D-arginine. Desmopressin is indicated for the treatment of polyuric conditions including primary nocturnal enuresis, nocturia, and diabetes insipidus. Nocdurna, or desmopressin acetate, was approved by the FDA on June 21st, 2018 for the treatment of nocturia due to nocturnal polyuria in adults. It is available as a sublingual tablet.By mimicking the actions of endogenous ADH, desmopressin acts as a selective agonist of V2 receptors expressed in the renal collecting duct (CD) to increase water re-absorption and reduce urine production. Desmopressin administered intranasally has an antidiuretic effect about one-tenth that of an equivalent dose administered by injection .Upon binding of desmopressin to V2 receptors in the basolateral membrane of the cells of the distal tubule and collecting ducts of the nephron, adenylyl cyclase is stimulated."
31,DB00036,"For treatment of hemorrhagic complications in hemophilia A and B.Recombinant human coagulation Factor VIIa (rFVIIa), intended for promoting hemostasis by activating the extrinsic pathway of the coagulation cascade. NovoSeven is a vitamin K-dependent glycoprotein consisting of 406 amino acid residues. Cloned and expressed in hamster kidney cells, the protein is catalytically active in a two-chain form.Used in the treatment of bleeding episodes in hemophilia A or B. NovoSeven is recombinant Factor VIIa and, when complexed with tissue factor can activate coagulation Factor X to Factor Xa, as well as coagulation Factor IX to Factor IXa. Factor Xa, in complex with other factors, then converts prothrombin to thrombin, which leads to the formation of a hemostatic plug by converting fibrinogen to fibrin and thereby inducing local clotting.NovoSeven activates the coagulation or clotting cascade by cleaving Factor IX and Factor X, which activates them and then leads to activation of thrombin and fibrin."
32,DB00039,"It is 140 residues long, and is produced using E. coli. Palifermin was granted FDA approval on 15 December 2004.Used in the prevention or treatment of oral mucoscitis (mouth ulcers arising from chemotherapy), Kepivance binds to the human keratinocyte growth factor (KGF) receptor on buccal cell surfaces. The KGF receptor is found on many tissues particularly around the tongue, esophagus, salivary gland and other gastro-intestinal tract organs.Palifermin has been shown to protect oral and intestinal epithelia from the effects of radiation and chemotherapy, though the exact mechanism is not well understood. As a recombinant keratinocyte growth factor (KGF), palifermin may promote cell proliferation, reducing the severity of oral mucositis in patients in the relevant treatment groups. Agonism of fibroblast growth factor 2 may be predominantly responsible for this effect."
33,DB00040,"Glucagon is indicated as a diagnostic aid in radiologic exams to temporarily inhibit the movement of the gastrointestinal tract and to treat severe hypoglycemia.Glucagon is a 29 amino acid hormone used as a diagnostic aid in radiologic exams to temporarily inhibit the movement of the gastrointestinal tract and to treat severe hypoglycemia. Glucagon raises blood sugar through activation of hepatic glucagon receptors, stimulating glycogenolysis and the release of glucose. Glucagon was granted FDA approval on 14 November 1960.Glucagon is indicated as a diagnostic aid in radiologic exams to temporarily inhibit the movement of the gastrointestinal tract and severe hypoglycemia. Glucagon raises blood sugar through activation of hepatic glucagon receptors, stimulating glycogenolysis and the release of glucose. Glucagon has a short duration of action."
34,DB00041,"For treatment of adults with metastatic renal cell carcinoma.Aldesleukin, a lymphokine, is produced by recombinant DNA technology using a genetically engineered E. coli strain containing an analog of the human interleukin-2 gene. IL-2 is normally produced by the body, secreted by T cells, and stimulates growth and differentiation of T cell response. It can be used in immunotherapy to treat cancer. These events led to the creation of an activated receptor complex, to which various cytoplasmic signaling molecules are recruited and become substrates for regulatory enzymes (especially tyrosine kinases) that are associated with the receptor. These events stimulate growth and differentiation of T cells."
35,DB00042,"For the treatment of patients with cervical dystonia to reduce the severity of abnormal head position and neck pain associated with cervical dystonia.Neurotoxin produced by fermentation of clostridium botulinum type B. The protein exists in noncovalent association with hemagglutinin and nonhemagglutinin proteins as a neurotoxin complex. The neurotoxin complex is recovered from the fermentation process and purified through a series of precipitation and chromatography steps.Botulinum Toxin Type B inhibits acetylcholine release at the neuromuscular junction via a three stage process: 1) Heavy Chain mediated neurospecific binding of the toxin, 2) internalization of the toxin by receptor-mediated endocytosis, and 3) ATP and pH dependent translocation of the Light Chain to the neuronal cytosol where it acts as a zinc-dependent endoprotease cleaving polypeptides essential for neurotransmitter release.Botulinum Toxin Type B binds to and cleaves the synaptic Vesicle Associated Membrane Protein (VAMP, also known as synaptobrevin) which is a component of the protein complex responsible for docking and fusion of the synaptic vesicle to the presynaptic membrane, a necessary step to neurotransmitter release."
36,DB00043,"In September 2018, a new prefilled syringe formulation of this drug was approved by the FDA .Omalizumab is a recombinant, humanized, monoclonal antibody against human immunoglobulin E (IgE) which treats the symptoms of asthma and chronic idiopathic urticaria by limiting the allergic response , . It inhibits the binding of IgE to receptors on mast cells and basophils, blocking the IgE-mediated secretion of inflammatory mediators from these cells . Mast cell activation and the release of mediators, in response to allergen exposure and IgE, results in a cascade of events. The following are explanations of the mechanism of action for both indications of this drug:    **Asthma**    Omalizumab inhibits the binding of IgE to the high-affinity IgE receptor (FcεRI) on the surface of both mast cells and basophils. Omalizumab binds to free IgE with a higher affinity than IgE itself binds to the high-affinity Fc€RI receptors found on basophils."
37,DB00046,"Insulin is prescribed for the management of diabetes mellitus to mimic the activity of endogenously produced human insulin, a peptide hormone produced by beta cells of the pancreas that promotes glucose metabolism. Insulin is released from the pancreas following a meal to promote the uptake of glucose from the blood into internal organs and tissues such as the liver, fat cells, and skeletal muscle. Insulin is an important treatment in the management of Type 1 Diabetes (T1D) which is caused by an autoimmune reaction that destroys the beta cells of the pancreas, resulting in the body not being able to produce the insulin needed to manage circulating blood sugar levels. Due to its duration of action of around 5 hours, Humalog is considered ""bolus insulin"" as it provides high levels of insulin in a short period of time to mimic the release of endogenous insulin from the pancreas after meals. Its activity peaks 60 minutes following subcutaneous injection and its duration of action is 4-5 hours."
